Combination: (0,), Degree: 1
Mean Squared Error (Combination (3, 5), Degree 3): 0.6460793089517142
Combination: (3, 6), Degree: 1
Mean Squared Error (Combination (3, 6), Degree 1): 0.6161817150220392
Combination: (3, 6), Degree: 2
Mean Squared Error (Combination (3, 6), Degree 2): 0.6080534676557152
Combination: (3, 6), Degree: 3
Mean Squared Error (Combination (3, 6), Degree 3): 0.6032537465153172
Combination: (3, 7), Degree: 1
Mean Squared Error (Combination (3, 7), Degree 1): 0.6212706029312562
Combination: (3, 7), Degree: 2
Mean Squared Error (Combination (3, 7), Degree 2): 0.6048675269731035
Combination: (3, 7), Degree: 3
Mean Squared Error (Combination (3, 7), Degree 3): 0.6059503077839906
Combination: (3, 8), Degree: 1
Mean Squared Error (Combination (3, 8), Degree 1): 0.6498791413529817
Combination: (3, 8), Degree: 2
Mean Squared Error (Combination (3, 8), Degree 2): 0.6492528110422101
Combination: (3, 8), Degree: 3
Mean Squared Error (Combination (3, 8), Degree 3): 0.6477536694996093
Combination: (3, 9), Degree: 1
Mean Squared Error (Combination (3, 9), Degree 1): 0.6239973435565568
Combination: (3, 9), Degree: 2
Mean Squared Error (Combination (3, 9), Degree 2): 0.5786626292503143
Combination: (3, 9), Degree: 3
Mean Squared Error (Combination (3, 9), Degree 3): 0.5660039282635904
Combination: (3, 10), Degree: 1
Mean Squared Error (Combination (3, 10), Degree 1): 0.487594406146268
Combination: (3, 10), Degree: 2
Mean Squared Error (Combination (3, 10), Degree 2): 0.4847378762630065
Combination: (3, 10), Degree: 3
Mean Squared Error (Combination (3, 10), Degree 3): 0.4771033329983442
Combination: (4, 5), Degree: 1
Mean Squared Error (Combination (4, 5), Degree 1): 0.6408398042522526
Combination: (4, 5), Degree: 2
Mean Squared Error (Combination (4, 5), Degree 2): 0.6351156315714558
Combination: (4, 5), Degree: 3
Mean Squared Error (Combination (4, 5), Degree 3): 0.6249752726046638
Combination: (4, 6), Degree: 1
